game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff
2022_0206_1510_10,2022-02-06T00:00:00+00:00,ALBA Berlin,10,Telekom Baskets Bonn,1510,89,77,local,2021-22,0
2022_0206_3361_41,2022-02-06T00:00:00+00:00,MHP Riesen Ludwigsburg,41,Fraport Skyliners Frankfurt,3361,80,71,local,2021-22,0
2022_0206_2745_132,2022-02-06T00:00:00+00:00,Bamberg Baskets,132,FITOne Wuerzburg Baskets,2745,89,90,visitante,2021-22,0
2022_0207_127_1634,2022-02-07T00:00:00+00:00,EWE Baskets Oldenburg,1634,Ratiopharm Ulm,127,78,86,visitante,2021-22,0
2022_0209_3361_1634,2022-02-09T00:00:00+00:00,EWE Baskets Oldenburg,1634,Fraport Skyliners Frankfurt,3361,110,103,local,2021-22,0
2022_0211_19629_2745,2022-02-11T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Veolia Towers Hamburg,19629,103,113,visitante,2021-22,0
2022_0212_134_215,2022-02-12T00:00:00+00:00,MLP Academics Heidelberg,215,Medi Bayreuth,134,79,85,visitante,2021-22,0
2022_0212_133_132,2022-02-12T00:00:00+00:00,Bamberg Baskets,132,46ers Giessen,133,92,89,local,2021-22,0
2022_0212_214_127,2022-02-12T00:00:00+00:00,Ratiopharm Ulm,127,BG Goettingen,214,87,91,visitante,2021-22,0
2022_0212_1791_41,2022-02-12T00:00:00+00:00,MHP Riesen Ludwigsburg,41,NINERS Chemnitz,1791,56,74,visitante,2021-22,0
2022_0213_219_3361,2022-02-13T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,FC Bayern Muenchen Basketball,219,53,72,visitante,2021-22,0
2022_0213_10_2315,2022-02-13T00:00:00+00:00,Merlins Crailsheim,2315,ALBA Berlin,10,74,106,visitante,2021-22,0
2022_0213_40_1510,2022-02-13T00:00:00+00:00,Telekom Baskets Bonn,1510,Basketball Loewen Braunschweig,40,95,77,local,2021-22,0
2022_0213_1634_450,2022-02-13T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,EWE Baskets Oldenburg,1634,93,110,visitante,2021-22,0
2022_0215_1791_219,2022-02-15T00:00:00+00:00,FC Bayern Muenchen Basketball,219,NINERS Chemnitz,1791,58,77,visitante,2021-22,0
2022_0215_127_40,2022-02-15T00:00:00+00:00,Basketball Loewen Braunschweig,40,Ratiopharm Ulm,127,78,59,local,2021-22,0
2022_0215_2315_133,2022-02-15T00:00:00+00:00,46ers Giessen,133,Merlins Crailsheim,2315,81,87,visitante,2021-22,0
2022_0215_3361_10,2022-02-15T00:00:00+00:00,ALBA Berlin,10,Fraport Skyliners Frankfurt,3361,72,56,local,2021-22,0
2022_0216_215_450,2022-02-16T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,MLP Academics Heidelberg,215,70,94,visitante,2021-22,0
2022_0216_41_214,2022-02-16T00:00:00+00:00,BG Goettingen,214,MHP Riesen Ludwigsburg,41,79,86,visitante,2021-22,0
2022_0216_1634_134,2022-02-16T00:00:00+00:00,Medi Bayreuth,134,EWE Baskets Oldenburg,1634,111,95,local,2021-22,0
2022_0216_2745_1510,2022-02-16T00:00:00+00:00,Telekom Baskets Bonn,1510,FITOne Wuerzburg Baskets,2745,90,93,visitante,2021-22,0
2022_0218_127_2745,2022-02-18T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Ratiopharm Ulm,127,86,92,visitante,2021-22,0
2022_0302_219_19629,2022-03-02T00:00:00+00:00,Veolia Towers Hamburg,19629,FC Bayern Muenchen Basketball,219,75,86,visitante,2021-22,0
2022_0304_2745_127,2022-03-04T00:00:00+00:00,Ratiopharm Ulm,127,FITOne Wuerzburg Baskets,2745,88,76,local,2021-22,0
2022_0305_1510_2315,2022-03-05T00:00:00+00:00,Merlins Crailsheim,2315,Telekom Baskets Bonn,1510,96,101,visitante,2021-22,0
2022_0305_19629_1634,2022-03-05T00:00:00+00:00,EWE Baskets Oldenburg,1634,Veolia Towers Hamburg,19629,85,101,visitante,2021-22,0
2022_0305_450_134,2022-03-05T00:00:00+00:00,Medi Bayreuth,134,SYNTAINICS MBC Weissenfels,450,81,105,visitante,2021-22,0
2022_0306_219_132,2022-03-06T00:00:00+00:00,Bamberg Baskets,132,FC Bayern Muenchen Basketball,219,62,83,visitante,2021-22,0
2022_0306_133_41,2022-03-06T00:00:00+00:00,MHP Riesen Ludwigsburg,41,46ers Giessen,133,76,59,local,2021-22,0
2022_0306_214_1791,2022-03-06T00:00:00+00:00,NINERS Chemnitz,1791,BG Goettingen,214,69,90,visitante,2021-22,0
2022_0308_132_1634,2022-03-08T00:00:00+00:00,EWE Baskets Oldenburg,1634,Bamberg Baskets,132,106,83,local,2021-22,0
2022_0308_1510_219,2022-03-08T00:00:00+00:00,FC Bayern Muenchen Basketball,219,Telekom Baskets Bonn,1510,61,96,visitante,2021-22,0
2022_0309_134_133,2022-03-09T00:00:00+00:00,46ers Giessen,133,Medi Bayreuth,134,95,89,local,2021-22,0
2022_0309_3361_214,2022-03-09T00:00:00+00:00,BG Goettingen,214,Fraport Skyliners Frankfurt,3361,73,65,local,2021-22,0
2022_0312_19629_1510,2022-03-12T00:00:00+00:00,Telekom Baskets Bonn,1510,Veolia Towers Hamburg,19629,85,73,local,2021-22,0
2022_0312_214_134,2022-03-12T00:00:00+00:00,Medi Bayreuth,134,BG Goettingen,214,91,92,visitante,2021-22,0
2022_0312_215_40,2022-03-12T00:00:00+00:00,Basketball Loewen Braunschweig,40,MLP Academics Heidelberg,215,78,81,visitante,2021-22,0
2022_0312_41_132,2022-03-12T00:00:00+00:00,Bamberg Baskets,132,MHP Riesen Ludwigsburg,41,76,95,visitante,2021-22,0
2022_0312_2745_2315,2022-03-12T00:00:00+00:00,Merlins Crailsheim,2315,FITOne Wuerzburg Baskets,2745,74,91,visitante,2021-22,0
2022_0313_133_10,2022-03-13T00:00:00+00:00,ALBA Berlin,10,46ers Giessen,133,84,58,local,2021-22,0
2022_0313_1634_1791,2022-03-13T00:00:00+00:00,NINERS Chemnitz,1791,EWE Baskets Oldenburg,1634,87,92,visitante,2021-22,0
2022_0313_450_3361,2022-03-13T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,SYNTAINICS MBC Weissenfels,450,75,81,visitante,2021-22,0
2022_0316_3361_2745,2022-03-16T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Fraport Skyliners Frankfurt,3361,69,61,local,2021-22,0
2022_0316_10_40,2022-03-16T00:00:00+00:00,Basketball Loewen Braunschweig,40,ALBA Berlin,10,80,95,visitante,2021-22,0
2022_0317_450_133,2022-03-17T00:00:00+00:00,46ers Giessen,133,SYNTAINICS MBC Weissenfels,450,89,91,visitante,2021-22,0
2022_0318_1510_134,2022-03-18T00:00:00+00:00,Medi Bayreuth,134,Telekom Baskets Bonn,1510,65,86,visitante,2021-22,0
2022_0319_1634_214,2022-03-19T00:00:00+00:00,BG Goettingen,214,EWE Baskets Oldenburg,1634,85,86,visitante,2021-22,0
2022_0319_2745_215,2022-03-19T00:00:00+00:00,MLP Academics Heidelberg,215,FITOne Wuerzburg Baskets,2745,77,97,visitante,2021-22,0
2022_0319_19629_41,2022-03-19T00:00:00+00:00,MHP Riesen Ludwigsburg,41,Veolia Towers Hamburg,19629,79,75,local,2021-22,0
2022_0320_132_450,2022-03-20T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,Bamberg Baskets,132,78,87,visitante,2021-22,0
2022_0320_40_3361,2022-03-20T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,Basketball Loewen Braunschweig,40,72,67,local,2021-22,0
2022_0323_214_215,2022-03-23T00:00:00+00:00,MLP Academics Heidelberg,215,BG Goettingen,214,82,70,local,2021-22,0
2022_0323_134_1634,2022-03-23T00:00:00+00:00,EWE Baskets Oldenburg,1634,Medi Bayreuth,134,74,71,local,2021-22,0
2022_0324_1791_19629,2022-03-24T00:00:00+00:00,Veolia Towers Hamburg,19629,NINERS Chemnitz,1791,89,85,local,2021-22,0
2022_0325_3361_127,2022-03-25T00:00:00+00:00,Ratiopharm Ulm,127,Fraport Skyliners Frankfurt,3361,61,58,local,2021-22,0
