game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff,fs_match_id,home_fga,home_fgm,home_fg_pct,home_fg2a,home_fg2m,home_fg2_pct,home_fg3a,home_fg3m,home_fg3_pct,home_fta,home_ftm,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_blk,home_tov,home_stl,home_pf,away_fga,away_fgm,away_fg_pct,away_fg2a,away_fg2m,away_fg2_pct,away_fg3a,away_fg3m,away_fg3_pct,away_fta,away_ftm,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_blk,away_tov,away_stl,away_pf,fs_match_orientation
2020_1206_1791_3361,2020-12-06T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,NINERS Chemnitz,1791,83,70,local,2020-21,0,88AqyT4r,56.0,26.0,46.43,29.0,14.0,48.28,27.0,12.0,44.44,24.0,21.0,87.5,14.0,22.0,36.0,13.0,2.0,14.0,9.0,22.0,51.0,24.0,47.06,26.0,15.0,57.69,25.0,9.0,36.0,18.0,15.0,83.3,8.0,17.0,25.0,16.0,4.0,19.0,10.0,26.0,reverse
2020_1206_450_19629,2020-12-06T00:00:00+00:00,Veolia Towers Hamburg,19629,SYNTAINICS MBC Weissenfels,450,85,80,local,2020-21,0,xMmCgyL9,68.0,33.0,48.53,47.0,23.0,48.94,21.0,10.0,47.62,19.0,11.0,57.9,11.0,31.0,42.0,18.0,0.0,11.0,5.0,20.0,72.0,30.0,41.67,33.0,17.0,51.52,39.0,13.0,33.33,11.0,9.0,81.8,13.0,28.0,41.0,16.0,5.0,12.0,8.0,21.0,reverse
2020_1206_219_214,2020-12-06T00:00:00+00:00,BG Goettingen,214,FC Bayern Muenchen Basketball,219,72,90,visitante,2020-21,0,MBEmzmKl,62.0,25.0,40.32,40.0,20.0,50.0,22.0,5.0,22.73,21.0,17.0,81.0,14.0,20.0,34.0,12.0,3.0,16.0,6.0,28.0,65.0,29.0,44.62,41.0,22.0,53.66,24.0,7.0,29.17,35.0,27.0,77.1,20.0,26.0,46.0,17.0,6.0,13.0,10.0,21.0,reverse
2020_1206_133_132,2020-12-06T00:00:00+00:00,Bamberg Baskets,132,46ers Giessen,133,106,99,local,2020-21,0,4z4hZ6Zf,72.0,40.0,55.56,50.0,32.0,64.0,22.0,8.0,36.36,22.0,18.0,81.8,16.0,23.0,39.0,24.0,6.0,11.0,3.0,17.0,75.0,38.0,50.67,43.0,27.0,62.79,32.0,11.0,34.38,14.0,12.0,85.7,13.0,16.0,29.0,19.0,1.0,8.0,6.0,23.0,reverse
2020_1206_2745_40,2020-12-06T00:00:00+00:00,Basketball Loewen Braunschweig,40,FITOne Wuerzburg Baskets,2745,93,89,local,2020-21,0,rR2dYQl1,56.0,29.0,51.79,28.0,18.0,64.29,28.0,11.0,39.29,31.0,24.0,77.4,8.0,26.0,34.0,17.0,1.0,16.0,5.0,23.0,69.0,33.0,47.83,42.0,22.0,52.38,27.0,11.0,40.74,17.0,12.0,70.6,13.0,21.0,34.0,23.0,2.0,14.0,8.0,26.0,reverse
2020_1208_41_10,2020-12-08T00:00:00+00:00,ALBA Berlin,10,MHP Riesen Ludwigsburg,41,71,78,visitante,2020-21,0,jDuPXgbj,65.0,29.0,44.62,30.0,21.0,70.0,35.0,8.0,22.86,9.0,5.0,55.6,14.0,25.0,39.0,21.0,3.0,11.0,5.0,20.0,62.0,25.0,40.32,31.0,15.0,48.39,31.0,10.0,32.26,21.0,18.0,85.7,12.0,28.0,40.0,15.0,1.0,12.0,5.0,18.0,reverse
2020_1208_450_219,2020-12-08T00:00:00+00:00,FC Bayern Muenchen Basketball,219,SYNTAINICS MBC Weissenfels,450,96,84,local,2020-21,0,M5sgKV4U,64.0,33.0,51.56,47.0,26.0,55.32,17.0,7.0,41.18,26.0,23.0,88.5,9.0,26.0,35.0,21.0,5.0,14.0,7.0,21.0,57.0,27.0,47.37,32.0,17.0,53.13,25.0,10.0,40.0,24.0,20.0,83.3,6.0,21.0,27.0,16.0,4.0,18.0,8.0,24.0,reverse
2020_1208_40_133,2020-12-08T00:00:00+00:00,46ers Giessen,133,Basketball Loewen Braunschweig,40,85,93,visitante,2020-21,0,I5hxsby4,77.0,33.0,42.86,45.0,22.0,48.89,32.0,11.0,34.38,10.0,8.0,80.0,25.0,32.0,57.0,18.0,3.0,14.0,4.0,21.0,76.0,29.0,38.16,44.0,19.0,43.18,32.0,10.0,31.25,33.0,25.0,75.8,17.0,31.0,48.0,21.0,3.0,6.0,8.0,16.0,reverse
2020_1209_2315_1791,2020-12-09T00:00:00+00:00,NINERS Chemnitz,1791,Merlins Crailsheim,2315,76,88,visitante,2020-21,0,MXRkQP2H,53.0,25.0,47.17,29.0,16.0,55.17,24.0,9.0,37.5,28.0,17.0,60.7,8.0,21.0,29.0,18.0,1.0,18.0,3.0,27.0,58.0,24.0,41.38,34.0,18.0,52.94,24.0,6.0,25.0,40.0,34.0,85.0,15.0,26.0,41.0,15.0,1.0,13.0,11.0,24.0,reverse
2020_1209_2457_134,2020-12-09T00:00:00+00:00,Medi Bayreuth,134,Rasta Vechta,2457,92,89,local,2020-21,0,x6alvdLM,60.0,29.0,48.33,34.0,19.0,55.88,26.0,10.0,38.46,28.0,24.0,85.7,12.0,20.0,32.0,20.0,1.0,8.0,5.0,22.0,60.0,32.0,53.33,35.0,22.0,62.86,25.0,10.0,40.0,18.0,15.0,83.3,9.0,20.0,29.0,20.0,3.0,11.0,4.0,24.0,reverse
