game_id,temporada,fecha,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_win_rate_3,away_win_rate_3,win_rate_diff_3,home_streak_5,away_streak_5,home_pt_diff_avg_5,away_pt_diff_avg_5,pt_diff_diff_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
2020_1213_219_133,2020-21,2020-12-13 00:00:00+00:00,46ers Giessen,FC Bayern Muenchen Basketball,133,219,86.0,101.25,0.0,88.8,71.2,1.0,-2.799999999999997,-1.0,86.0,101.25,0.0,88.8,71.2,1.0,-2.799999999999997,-1.0,0.0,1.0,-1.0,-4.0,5.0,-15.25,17.599999999999994,-32.849999999999994,0,0,0.5,1,0
2020_1213_19629_127,2020-21,2020-12-13 00:00:00+00:00,Ratiopharm Ulm,Veolia Towers Hamburg,127,19629,93.5,76.75,1.0,89.2,71.6,1.0,4.299999999999997,0.0,93.5,76.75,1.0,89.2,71.6,1.0,4.299999999999997,0.0,1.0,1.0,0.0,4.0,5.0,16.75,17.60000000000001,-0.8500000000000085,0,0,0.5,1,1
2020_1213_10_132,2020-21,2020-12-13 00:00:00+00:00,Bamberg Baskets,ALBA Berlin,132,10,92.25,91.0,0.5,81.4,74.6,0.8,10.849999999999994,-0.30000000000000004,92.25,91.0,0.5,81.4,74.6,0.8,10.849999999999994,-0.30000000000000004,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,1.25,6.800000000000011,-5.550000000000011,0,0,0.5,1,0
2020_1215_133_450,2020-21,2020-12-15 00:00:00+00:00,SYNTAINICS MBC Weissenfels,46ers Giessen,450,133,80.8,89.8,0.2,83.0,99.6,0.0,-2.200000000000003,0.2,80.8,89.8,0.2,83.0,99.6,0.0,-2.200000000000003,0.2,0.3333333333333333,0.0,0.3333333333333333,-3.0,-5.0,-9.0,-16.599999999999994,7.599999999999994,0,0,0.5,1,1
2020_1216_132_2745,2020-21,2020-12-16 00:00:00+00:00,FITOne Wuerzburg Baskets,Bamberg Baskets,2745,132,78.2,84.0,0.4,87.8,89.2,0.4,-9.599999999999994,0.0,78.2,84.0,0.4,87.8,89.2,0.4,-9.599999999999994,0.0,0.3333333333333333,0.3333333333333333,0.0,-1.0,-1.0,-5.799999999999997,-1.4000000000000057,-4.3999999999999915,0,0,0.5,1,0
2020_1218_133_1791,2020-21,2020-12-18 00:00:00+00:00,NINERS Chemnitz,46ers Giessen,1791,133,77.0,93.8,0.0,85.4,99.4,0.0,-8.400000000000006,0.0,78.5,93.66666666666667,0.0,84.66666666666667,100.5,0.0,-6.166666666666671,0.0,0.0,0.0,0.0,-5.0,-5.0,-16.799999999999997,-14.0,-2.799999999999997,0,0,0.5,1,1
2020_1219_10_127,2020-21,2020-12-19 00:00:00+00:00,Ratiopharm Ulm,ALBA Berlin,127,10,89.4,75.2,1.0,82.0,75.4,0.8,7.400000000000006,0.19999999999999996,89.4,75.2,1.0,81.5,73.83333333333333,0.8333333333333334,7.900000000000006,0.16666666666666663,1.0,0.6666666666666666,0.33333333333333337,5.0,3.0,14.200000000000003,6.599999999999994,7.6000000000000085,0,0,0.5,1,0
2020_1219_3361_134,2020-21,2020-12-19 00:00:00+00:00,Medi Bayreuth,Fraport Skyliners Frankfurt,134,3361,84.4,81.6,0.6,70.0,80.8,0.2,14.400000000000006,0.39999999999999997,83.0,85.33333333333333,0.5,70.0,80.8,0.2,13.0,0.3,0.3333333333333333,0.3333333333333333,0.0,1.0,-3.0,2.8000000000000114,-10.799999999999997,13.600000000000009,0,0,0.5,1,0
2020_1219_132_1510,2020-21,2020-12-19 00:00:00+00:00,Telekom Baskets Bonn,Bamberg Baskets,1510,132,77.2,87.8,0.2,89.0,86.8,0.6,-11.799999999999997,-0.39999999999999997,78.0,87.5,0.16666666666666666,86.66666666666667,85.33333333333333,0.5,-8.666666666666671,-0.33333333333333337,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-3.0,1.0,-10.599999999999994,2.200000000000003,-12.799999999999997,0,0,0.5,1,0
2020_1219_41_2457,2020-21,2020-12-19 00:00:00+00:00,Rasta Vechta,MHP Riesen Ludwigsburg,2457,41,77.8,86.0,0.0,85.0,82.8,0.8,-7.200000000000003,-0.8,77.83333333333333,86.66666666666667,0.0,87.5,81.16666666666667,0.8333333333333334,-9.666666666666671,-0.8333333333333334,0.0,1.0,-1.0,-5.0,3.0,-8.200000000000003,2.200000000000003,-10.400000000000006,0,0,0.5,1,0
2020_1220_40_2315,2020-21,2020-12-20 00:00:00+00:00,Merlins Crailsheim,Basketball Loewen Braunschweig,2315,40,92.0,85.0,0.8,89.6,82.0,0.8,2.4000000000000057,0.0,90.66666666666667,81.83333333333333,0.8333333333333334,88.5,86.83333333333333,0.6666666666666666,2.1666666666666714,0.16666666666666674,0.6666666666666666,1.0,-0.33333333333333337,3.0,3.0,7.0,7.599999999999994,-0.5999999999999943,0,0,0.5,1,1
2020_1220_214_19629,2020-21,2020-12-20 00:00:00+00:00,Veolia Towers Hamburg,BG Goettingen,19629,214,87.4,71.2,0.8,83.2,89.4,0.4,4.200000000000003,0.4,85.83333333333333,71.83333333333333,0.8333333333333334,81.5,91.16666666666667,0.3333333333333333,4.333333333333329,0.5,0.6666666666666666,0.0,0.6666666666666666,3.0,-1.0,16.200000000000003,-6.200000000000003,22.400000000000006,0,0,0.5,1,1
2020_1220_2745_450,2020-21,2020-12-20 00:00:00+00:00,SYNTAINICS MBC Weissenfels,FITOne Wuerzburg Baskets,450,2745,88.6,91.6,0.4,76.0,82.2,0.4,12.599999999999994,0.0,84.83333333333333,90.33333333333333,0.3333333333333333,76.16666666666667,83.5,0.3333333333333333,8.666666666666657,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-1.0,-1.0,-3.0,-6.200000000000003,3.200000000000003,0,0,0.5,1,1
2020_1220_1634_219,2020-21,2020-12-20 00:00:00+00:00,FC Bayern Muenchen Basketball,EWE Baskets Oldenburg,219,1634,89.4,69.8,1.0,93.6,83.4,0.6,-4.199999999999989,0.4,89.5,71.16666666666667,1.0,96.5,83.33333333333333,0.6666666666666666,-7.0,0.33333333333333337,1.0,0.6666666666666666,0.33333333333333337,5.0,1.0,19.60000000000001,10.199999999999989,9.40000000000002,0,0,0.5,1,0
2020_1222_1791_41,2020-21,2020-12-22 00:00:00+00:00,MHP Riesen Ludwigsburg,NINERS Chemnitz,41,1791,84.8,81.0,0.8,76.2,89.8,0.2,8.599999999999994,0.6000000000000001,87.14285714285714,80.0,0.8571428571428571,80.85714285714286,92.14285714285714,0.14285714285714285,6.285714285714278,0.7142857142857142,1.0,0.3333333333333333,0.6666666666666667,3.0,-3.0,3.799999999999997,-13.599999999999994,17.39999999999999,0,0,0.5,1,1
2020_1222_134_2745,2020-21,2020-12-22 00:00:00+00:00,FITOne Wuerzburg Baskets,Medi Bayreuth,2745,134,72.0,82.2,0.2,85.0,87.0,0.4,-13.0,-0.2,75.0,83.0,0.2857142857142857,83.42857142857143,88.0,0.42857142857142855,-8.42857142857143,-0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,-3.0,-1.0,-10.200000000000003,-2.0,-8.200000000000003,0,0,0.5,1,1
2020_1222_2315_3361,2020-21,2020-12-22 00:00:00+00:00,Fraport Skyliners Frankfurt,Merlins Crailsheim,3361,2315,77.6,82.2,0.4,93.4,81.0,0.8,-15.800000000000011,-0.4,75.66666666666667,81.66666666666667,0.3333333333333333,93.14285714285714,80.85714285714286,0.8571428571428571,-17.476190476190467,-0.5238095238095237,0.6666666666666666,1.0,-0.33333333333333337,-1.0,3.0,-4.6000000000000085,12.400000000000006,-17.000000000000014,0,0,0.5,1,0
2020_1223_214_1634,2020-21,2020-12-23 00:00:00+00:00,EWE Baskets Oldenburg,BG Goettingen,1634,214,96.4,84.6,0.8,86.2,93.8,0.2,10.200000000000003,0.6000000000000001,97.0,85.0,0.7142857142857143,83.28571428571429,92.14285714285714,0.2857142857142857,13.714285714285708,0.4285714285714286,0.6666666666666666,0.0,0.6666666666666666,3.0,-3.0,11.800000000000011,-7.599999999999994,19.400000000000006,0,0,0.5,1,1
2020_1223_450_2457,2020-21,2020-12-23 00:00:00+00:00,Rasta Vechta,SYNTAINICS MBC Weissenfels,2457,450,76.4,85.4,0.0,88.4,85.4,0.6,-12.0,-0.6,77.14285714285714,86.42857142857143,0.0,84.14285714285714,87.14285714285714,0.42857142857142855,-7.0,-0.42857142857142855,0.0,1.0,-1.0,-5.0,1.0,-9.0,3.0,-12.0,0,0,0.5,1,0
