match_id,temporada,fecha,jornada,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_t3_pct_avg_5,home_t2_pct_avg_5,home_reb_avg_5,home_ast_avg_5,home_val_avg_5,away_t3_pct_avg_5,away_t2_pct_avg_5,away_reb_avg_5,away_ast_avg_5,away_val_avg_5,val_diff_5,home_streak_5,away_streak_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
101276,2020-21,2020-10-11 15:00:00+00:00,5,Hereda San Pablo Burgos,TD Systems Baskonia,549,3,92.0,78.0,0.75,81.5,78.25,0.75,10.5,0.0,92.0,78.0,0.75,81.5,78.25,0.75,10.5,0.0,0.3655,0.64005,30.75,22.0,103.25,0.335325,0.499775,30.0,19.5,89.25,14.0,2.0,2.0,0.0,0.0,0.5,1,1
101280,2020-21,2020-10-11 16:30:00+00:00,4,Herbalife Gran Canaria,Real Madrid,5,9,79.33333333333333,94.0,0.3333333333333333,91.66666666666667,72.33333333333333,1.0,-12.333333333333343,-0.6666666666666667,79.33333333333333,94.0,0.3333333333333333,91.66666666666667,72.33333333333333,1.0,-12.333333333333343,-0.6666666666666667,0.3136,0.4660666666666667,30.333333333333332,17.0,74.33333333333333,0.43316666666666664,0.6112666666666667,36.666666666666664,21.333333333333332,112.33333333333333,-38.0,-1.0,3.0,0.0,0.0,0.5,1,0
101277,2020-21,2020-10-11 18:00:00+00:00,5,Valencia Basket Club,Unicaja,13,14,82.75,80.25,0.5,77.5,82.0,0.25,5.25,0.25,82.75,80.25,0.5,77.5,82.0,0.25,5.25,0.25,0.35235,0.60405,29.5,18.75,96.5,0.339825,0.503525,24.5,16.25,73.5,23.0,0.0,-2.0,0.0,0.0,0.5,1,0
101239,2020-21,2020-10-15 18:30:00+00:00,5,Movistar Estudiantes,Herbalife Gran Canaria,6,5,82.5,87.0,0.25,75.75,93.0,0.25,6.75,0.0,82.5,87.0,0.25,75.75,93.0,0.25,6.75,0.0,0.40280000000000005,0.516725,26.5,13.5,74.0,0.31555,0.45765,29.0,14.5,67.25,6.75,-2.0,-2.0,0.0,0.0,0.5,1,1
101221,2020-21,2020-10-17 16:00:00+00:00,6,MoraBanc Andorra,Hereda San Pablo Burgos,22,549,78.8,78.2,0.4,91.8,80.2,0.8,-13.0,-0.4,78.8,78.2,0.4,91.8,80.2,0.8,-13.0,-0.4,0.38634,0.5329200000000001,33.4,17.6,84.6,0.36164,0.6575,29.4,21.8,102.2,-17.60000000000001,-1.0,3.0,0.0,0.0,0.5,1,1
101217,2020-21,2020-10-17 16:00:00+00:00,6,Urbas Fuenlabrada,BAXI Manresa,17,10,80.75,90.75,0.0,78.4,80.2,0.4,2.3499999999999943,-0.4,80.75,90.75,0.0,78.4,80.2,0.4,2.3499999999999943,-0.4,0.32682500000000003,0.5212,30.75,14.75,76.75,0.33468,0.52846,33.4,19.6,82.2,-5.450000000000003,-4.0,-1.0,0.0,0.0,0.5,1,0
101219,2020-21,2020-10-17 18:45:00+00:00,6,Monbus Obradoiro,Acunsa GBC,57,7,87.25,84.25,0.75,72.33333333333333,81.0,0.3333333333333333,14.916666666666671,0.4166666666666667,87.25,84.25,0.75,72.33333333333333,81.0,0.3333333333333333,14.916666666666671,0.4166666666666667,0.377,0.587675,29.5,16.25,90.0,0.3112,0.44870000000000004,33.333333333333336,14.0,68.66666666666667,21.33333333333333,2.0,-1.0,0.0,0.0,0.5,1,1
101223,2020-21,2020-10-17 18:45:00+00:00,6,Iberostar Tenerife,Club Joventut Badalona,28,8,86.75,81.25,1.0,80.0,77.0,0.8,6.75,0.19999999999999996,86.75,81.25,1.0,80.0,77.0,0.8,6.75,0.19999999999999996,0.35995,0.5367999999999999,32.75,18.5,92.25,0.40492,0.51566,32.2,18.0,85.8,6.450000000000003,4.0,3.0,0.0,0.0,0.5,1,1
101218,2020-21,2020-10-18 10:30:00+00:00,6,Coosur Real Betis,Movistar Estudiantes,15,6,76.0,81.0,0.25,84.8,83.2,0.4,-8.799999999999997,-0.15000000000000002,76.0,81.0,0.25,84.8,83.2,0.4,-8.799999999999997,-0.15000000000000002,0.317625,0.5069,31.25,12.25,75.75,0.42224000000000006,0.49573999999999996,30.0,14.4,80.0,-4.25,-2.0,-1.0,0.0,0.0,0.5,1,0
101224,2020-21,2020-10-18 15:00:00+00:00,6,Casademont Zaragoza,UCAM Murcia CB,16,12,82.0,86.8,0.2,79.6,79.0,0.6,2.4000000000000057,-0.39999999999999997,82.0,86.8,0.2,79.6,79.0,0.6,2.4000000000000057,-0.39999999999999997,0.28456000000000004,0.5369200000000001,33.4,16.0,79.2,0.31956,0.51746,36.2,15.0,82.0,-2.799999999999997,-3.0,1.0,0.0,0.0,0.5,1,1
